2024-10-08 14:43:54.511 +04:00 [WRN] The WebRootPath was not found: C:\Users\Omran.t\Desktop\NPCProject\Challenge\ChallengeBackEnd\wwwroot. Static files may be unavailable.
2024-10-08 14:43:54.692 +04:00 [INF] Now listening on: https://localhost:7269
2024-10-08 14:43:54.696 +04:00 [INF] Now listening on: http://localhost:5177
2024-10-08 14:43:54.747 +04:00 [INF] Application started. Press Ctrl+C to shut down.
2024-10-08 14:43:54.749 +04:00 [INF] Hosting environment: Development
2024-10-08 14:43:54.751 +04:00 [INF] Content root path: C:\Users\Omran.t\Desktop\NPCProject\Challenge\ChallengeBackEnd
2024-10-08 14:44:12.374 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:44:29.432 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:44:31.104 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:47:04.971 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:47:13.678 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:47:41.801 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:49:20.328 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:51:38.368 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:51:39.287 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:51:40.304 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
2024-10-08 14:51:42.217 +04:00 [DBG] AuthenticationScheme: Cookies was not authenticated.
